-11570150 16648724 22 309 24 Kaarel
-11402915 16756372 19 304 24 Kaarel
-11226964 16781660 17 278 24 Kaarel
-11068210 16720826 16 250 24 Kaarel
-10957094 16589001 19 221 24 Kaarel
-10883632 16395577 21 202 24 Kaarel
-10818551 16161103 26 194 24 Kaarel
-10799649 15862348 33 183 24 Kaarel
-10828185 15506818 38 174 24 Kaarel
-10881178 15097394 43 174 24 Kaarel
-10921796 14659171 45 178 24 Kaarel
-10941395 14186558 49 180 24 Kaarel
-10931329 13678211 52 185 24 Kaarel
-10910418 13135718 56 183 24 Kaarel
-10896358 12568302 54 183 24 Kaarel
-10885545 12092528 40 183 24 Kaarel
-10879081 11745019 31 183 24 Kaarel
-10911160 11448236 28 170 24 Kaarel
-11043379 11224584 24 140 24 Kaarel
-11239037 11077109 25 125 24 Kaarel
-11505399 10988439 31 102 24 Kaarel
-11849262 10956208 36 97 24 Kaarel
-12196350 10863731 38 109 24 Kaarel
-12592900 10746749 44 107 24 Kaarel
-13020711 10605385 46 112 24 Kaarel
-13470455 10403832 51 118 24 Kaarel
-13936796 10130142 56 124 24 Kaarel
-14423208 9798893 61 126 24 Kaarel
-14938078 9435041 64 127 24 Kaarel
-15472490 9043278 68 128 24 Kaarel
-16004623 8647606 61 128 24 Kaarel
-16447888 8316354 49 128 24 Kaarel
-16823159 8034295 44 128 24 Kaarel
-17149527 7742973 43 136 24 Kaarel
-17431852 7385565 47 153 24 Kaarel
-17602983 6926374 51 175 24 Kaarel
-17685421 6393689 57 175 24 Kaarel
-17724452 5799500 62 181 24 Kaarel
-17711289 5162762 65 185 24 Kaarel
-17669735 4486365 70 186 24 Kaarel
-17606825 3764167 74 187 24 Kaarel
-17532019 2999433 78 187 24 Kaarel
-17450403 2197643 82 188 24 Kaarel
-17351718 1379728 82 191 24 Kaarel
-17233450 590123 77 191 24 Kaarel
-17085708 -165899 76 197 24 Kaarel
-16879396 -892462 74 201 24 Kaarel
-16590862 -1563343 71 215 24 Kaarel
-16196091 -2151474 71 221 24 Kaarel
-15765771 -2746997 74 219 24 Kaarel
-15292284 -3339963 76 223 24 Kaarel
-14795298 -3921201 77 222 24 Kaarel
-14273892 -4505273 79 226 24 Kaarel
-13712654 -5079175 81 229 24 Kaarel
-13114946 -5643166 83 230 24 Kaarel
-12497222 -6213062 85 230 24 Kaarel
-11864394 -6791135 86 231 24 Kaarel
-11207793 -7371540 88 231 24 Kaarel
-10531966 -7965328 91 231 24 Kaarel
-9851246 -8588351 93 227 24 Kaarel
-9171777 -9248821 96 228 24 Kaarel
-8497949 -9948603 98 224 24 Kaarel
-7825075 -10681412 100 224 24 Kaarel
-7144826 -11427417 101 225 24 Kaarel
-6448318 -12184124 103 225 24 Kaarel
-5732022 -12952053 106 226 24 Kaarel
-4992497 -13726454 108 226 24 Kaarel
-4224520 -14500441 109 228 24 Kaarel
-3414919 -15257357 111 232 24 Kaarel
-2556656 -15985526 113 234 24 Kaarel
-1667546 -16706295 115 233 24 Kaarel
-761906 -17437076 117 234 24 Kaarel
164288 -18170195 118 234 24 Kaarel
1103660 -18912538 120 234 24 Kaarel
2062351 -19653700 121 235 24 Kaarel
3037398 -20397846 123 234 24 Kaarel
4016141 -21161210 124 234 24 Kaarel
5006198 -21933436 126 235 24 Kaarel
6013744 -22705112 127 235 24 Kaarel
7031947 -23483496 128 235 24 Kaarel
8062348 -24262779 129 235 24 Kaarel
9090216 -25047882 127 234 24 Kaarel
10072146 -25800742 118 235 24 Kaarel
10967081 -26485307 107 234 24 Kaarel
11787843 -27123304 99 234 24 Kaarel
12538227 -27709879 91 234 24 Kaarel
13250106 -28263862 87 234 24 Kaarel
13940245 -28799470 87 234 24 Kaarel
14619309 -29337730 85 233 24 Kaarel
15282865 -29867506 85 234 24 Kaarel
15952582 -30385511 84 235 24 Kaarel
16616192 -30900844 83 234 24 Kaarel
17277950 -31411236 84 235 24 Kaarel
17968263 -31920970 87 237 24 Kaarel
18694263 -32427557 89 238 24 Kaarel
19422055 -32926498 87 236 24 Kaarel
20121304 -33430427 83 236 24 Kaarel
20792568 -33914260 82 237 24 Kaarel
21437581 -34367692 75 237 24 Kaarel
22054313 -34773007 70 242 24 Kaarel
22626045 -35111707 61 242 24 Kaarel
23149641 -35391740 58 250 24 Kaarel
23692206 -35579677 55 258 24 Kaarel
24230862 -35669357 53 270 24 Kaarel
24776877 -35677830 56 275 24 Kaarel
25328807 -35587682 54 293 24 Kaarel
25831703 -35360960 56 308 24 Kaarel
26270205 -34995724 58 322 24 Kaarel
26651745 -34526622 62 330 24 Kaarel
26935225 -33972981 62 349 24 Kaarel
27099842 -33361696 64 352 24 Kaarel
27154910 -32727697 63 6 24 Kaarel
27072478 -32082031 66 15 24 Kaarel
26843339 -31453694 67 32 24 Kaarel
26476226 -30869348 70 36 24 Kaarel
26081137 -30260840 74 31 24 Kaarel
25691196 -29608565 77 28 24 Kaarel
25332488 -28904571 80 22 24 Kaarel
25002648 -28157827 82 24 24 Kaarel
24662685 -27392059 85 24 24 Kaarel
24321041 -26594662 88 22 24 Kaarel
23989516 -25762209 90 21 24 Kaarel
23653385 -24903903 93 21 24 Kaarel
23310101 -24027729 94 21 24 Kaarel
22957335 -23173508 91 26 24 Kaarel
22552178 -22369954 89 30 24 Kaarel
22085442 -21595647 91 36 24 Kaarel
21537345 -20850381 93 39 24 Kaarel
20929093 -20122698 96 43 24 Kaarel
20271367 -19410878 96 46 24 Kaarel
19615518 -18742841 90 42 24 Kaarel
19044171 -18134980 78 41 24 Kaarel
18531288 -17565266 75 42 24 Kaarel
18059728 -17000223 73 34 24 Kaarel
17644193 -16382413 75 29 24 Kaarel
17329845 -15707447 74 13 24 Kaarel
17107100 -14989183 75 17 24 Kaarel
16932458 -14294167 66 8 24 Kaarel
16834033 -13693219 54 4 24 Kaarel
16786667 -13190964 46 4 24 Kaarel
16714308 -12745444 44 16 24 Kaarel
16535926 -12357863 41 36 24 Kaarel
16302231 -12042518 33 38 24 Kaarel
16119470 -11816652 27 40 24 Kaarel
15951552 -11609707 26 38 24 Kaarel
15847507 -11387484 23 18 24 Kaarel
15872494 -11173341 21 350 24 Kaarel
15988108 -10950504 28 335 24 Kaarel
16114267 -10662703 34 343 24 Kaarel
16216754 -10298978 41 351 24 Kaarel
16321058 -9876889 45 349 24 Kaarel
16436722 -9415405 50 350 24 Kaarel
16547855 -8900277 55 353 24 Kaarel
16633879 -8332585 59 357 24 Kaarel
16722512 -7721797 63 354 24 Kaarel
16813920 -7083070 66 357 24 Kaarel
16892317 -6407284 69 357 24 Kaarel
16982491 -5694671 73 356 24 Kaarel
17072986 -4945737 77 357 24 Kaarel
17162921 -4162648 80 357 24 Kaarel
17255179 -3351835 82 357 24 Kaarel
17324031 -2518595 85 361 24 Kaarel
17364148 -1654403 87 361 24 Kaarel
17393736 -761189 90 363 24 Kaarel
17400987 159639 93 0 24 Kaarel
17376507 1105520 95 3 24 Kaarel
17314575 2073769 98 6 24 Kaarel
17220765 3062709 100 5 24 Kaarel
17115120 4065888 101 6 24 Kaarel
16992339 5086877 103 8 24 Kaarel
16824038 6123824 106 11 24 Kaarel
16644073 7180724 108 8 24 Kaarel
16457044 8257891 110 12 24 Kaarel
16244855 9351502 112 10 24 Kaarel
16030416 10465595 114 11 24 Kaarel
15799828 11596340 116 12 24 Kaarel
15572889 12746410 118 9 24 Kaarel
15362179 13917557 119 11 24 Kaarel
15139286 15102950 120 11 24 Kaarel
14918086 16243361 109 11 24 Kaarel
14713829 17251726 96 13 24 Kaarel
14508197 18122292 83 16 24 Kaarel
14258824 18904169 81 21 24 Kaarel
13975077 19657847 79 22 24 Kaarel
13653585 20380074 78 29 24 Kaarel
13264598 21068215 80 35 24 Kaarel
12799548 21717536 80 38 24 Kaarel
12311578 22374383 83 34 24 Kaarel
11876806 23095621 85 26 24 Kaarel
11518852 23879754 87 16 24 Kaarel
11256853 24724028 89 12 24 Kaarel
11068072 25615002 92 8 24 Kaarel
10930882 26543371 95 9 24 Kaarel
10767564 27497794 98 11 24 Kaarel
10545235 28468424 100 18 24 Kaarel
10223825 29425956 101 23 24 Kaarel
9824254 30376457 104 25 24 Kaarel
9346018 31313251 106 33 24 Kaarel
8747847 32192133 106 45 24 Kaarel
8006582 32942659 104 59 24 Kaarel
7154122 33529602 102 72 24 Kaarel
6225550 33970856 103 67 24 Kaarel
5258570 34338683 103 74 24 Kaarel
4266045 34664027 105 71 24 Kaarel
3263505 35003052 106 71 24 Kaarel
2249001 35354214 108 72 24 Kaarel
1212472 35695542 110 74 24 Kaarel
151340 36019958 111 73 24 Kaarel
-928067 36350306 113 73 24 Kaarel
-2024830 36687661 115 73 24 Kaarel
-3137666 37033341 117 72 24 Kaarel
-4261739 37399259 119 73 24 Kaarel
-5378970 37750951 111 73 24 Kaarel
-6383712 38063216 98 73 24 Kaarel
-7260568 38336711 85 73 24 Kaarel
